eventID,stem,event,details,wikipedia,mnemonic,itemDifficulty,categories,America,Europe,Asia,Africa,China,Discovery,Britain,France,Greek,India,Inventions,MiddleEast,prehistory,Religion,Roman,Royalty,Russia,Science,SouthAmerica,Wars,World,YearNum
0,c.3500 BC,"Invention of the wheel and plough in Mesopotamia (present-day Iraq); invention of the sail in Egypt: three fundamental inventions for trade, agriculture and exploration",,https://en.wikipedia.org/wiki/Plough#History,,6,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,,1.0,-3500
1,c.3200 BC,Invention of writing in Mesopotamia: the means to record and understand human history,,https://en.wikipedia.org/wiki/History_of_writing#Inventions_of_writing,,8,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,,1.0,-3200
2,c.3000 BC,Founding of the first cities in Sumeria (present-day Iraq): origin of modern social and administrative structures,,https://en.wikipedia.org/wiki/Sumer#City-states_in_Mesopotamia,,8,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,,1.0,-3000
3,c.3000 BC,Building of the Great Pyramid.,,https://en.wikipedia.org/wiki/Building_the_Great_Pyramid,,4,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,,1.0,-3000
4,c.1600 BC,Modern alphabet invented: the essential means of communication of complex concepts and culture,,https://en.wikipedia.org/wiki/Alphabet#History,,8,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,,1.0,-1600
5,c.1600 BC,"Beginning of Greek civilisation: essential to Western heritage and the root of mathematics, philosophy, political thinking and medicine",,https://en.wikipedia.org/wiki/History_of_Greece#Cycladic_and_Minoan_civilization,,7,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,,,-1600
6,1200 BC,Consensus for the Fall of Troy (if there was a Trojan War).,,https://en.wikipedia.org/wiki/Trojan_War,,6,,,,,,,,,,1.0,,,,,,,,,,,1.0,,-1200
7,995 BC,The Judean King David captures Jerusalem.,,,,5,,,,,,,,,,,,,,,,,1.0,,,,,,-995
8,776 BC,Legendary start of the Ancient Olympics.,,https://en.wikipedia.org/wiki/Ancient_Olympic_Games#First_games,,4,,,,,,,,,,1.0,,,,,,,,,,,,1.0,-776
9,776 BC,First Olympiad in Greece.,,https://en.wikipedia.org/wiki/Ancient_Olympic_Games#First_games,,6,"[prehistory,]",,1.0,,,,,,,,,,,1.0,,,,,,,,,-776
10,753 BC,"Foundation of Rome: the Roman Empire is a pillar of the modern age, producing ideas on justice, law, engineering and warfare",,https://en.wikipedia.org/wiki/Founding_of_Rome#Date,,5,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,,,-753
11,753 BC,Legendary founding of Rome.,,https://en.wikipedia.org/wiki/Founding_of_Rome#Date,,4,,,,,,,,,,,,,,,,1.0,,,,,,,-753
12,c.670 BC,"Invention of ironworking: metallurgy is the key to further technical, economic and military developments",,,,8,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,,,-670
13,588 BC,Babylonian King Nebuchadnezzar conquers Jerusalem and brings the Judean king and thousands of citizens of Judea back to Babylon with him.,,,,8,,,,,,,,,,,,,,,,,1.0,,,,1.0,,-588
14,585 BC,Greek philosopher Thales of Miletus successfully predicts a solar eclipse on May 28.,,,,7,,,,,,,,,,1.0,,,,,,,,,,,,,-585
15,c. 576 BC ,Birth of Gautam Buddha,,https://en.wikipedia.org/wiki/Gautama_Buddha#Historical_person,,5,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,-576
16,c.551 BC,"Birth of Confucius, the founder of one of the world's major philosophical systems",,,,7,"[prehistory,]",,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,-551
17,550 BC,Cyrus the Great establishes the Achaemenid dynasty of the Persian Empire.,,,,7,,,,,,,,,,1.0,,,,,,,,,,,,,-550
18,490 BC,Greeks win against the Persians in Battle of Marathon.,,,,5,,,,,,,,,,1.0,,,,,,,,,,,1.0,,-490
19,490 BC,"Greeks defeated the Persians at the Battle of Marathon.Battle of Marathon: the Greeks repel a Persian invasion, securing the survival of Greek culture and science",,,,7,"[prehistory,]",,,,,,,,,,,,,1.0,,,,,,,1.0,,-490
20,486 BC,"Birth of Buddha, founder of one of the world's major religions",,,,7,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,1.0,-486
21,483 BC,Indian philosopher Siddhartha Gautama Buddha dies and his followers begin to organize a religious movement based on his teachings.,,,,7,,,,,,,,,,,1.0,,,,,,,,,,,1.0,-483
22,360 BC,The period of Aristotle and Plato.,,,,7,,,,,,,,,,1.0,,,,1.0,,,,,,,,,-360
23,336 BC,Philip's son Alexander the Great rules Macedonia.,,,,7,,,,,,,,,,1.0,,,,,,,1.0,,,,,,-336
24,334 BC,Alexander fights and wins against the Persians at the Battle of Granicus in Anatolia.,,,,6,,,,,,,,,,1.0,,,,,,,,,,,1.0,,-334
25,333 BC,Macedonian forces under Alexander defeat the Persians at the Battle of Issus.,,,,6,,,,,,,,,,1.0,,,,,,,,,,,1.0,,-333
26,332 BC,"Alexander conquers Egypt, founds Alexandria, and installs a Greek government but leaves the next year.",,,,6,,,,,,,,,,1.0,,,,,,,,,,,1.0,,-332
27,332 BC,Egypt conquered by Alexander.,,,,8,,,,,,,,,,1.0,,,,1.0,,,,,,,,,-332
28,331 BC,"At the Battle of Gaugamela, Alexander defeats the Persian king Darius III.",,,,6,,,,,,,,,,1.0,,,,,,,,,,,1.0,,-331
29,327 BC,Empire of Alexander the Great reaches into India: the first example of a long-term and often violent interrelationship between Europe and Asia,,,,6,,,,,,,,,,,,,,1.0,,,,,,,,,-327
30,327 BC ,Alexander's invasion of India. It opened a land route between India and Europe,"The Indian campaign of Alexander the Great began in 327 BC. After conquering the Achaemenid Empire of Persia, the Macedonian king Alexander launched a campaign into the Indian subcontinent in present-day Afghanistan and Pakistan",https://en.wikipedia.org/wiki/Indian_campaign_of_Alexander_the_Great,,6,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,,-327
31,326 BC,"Alexander reaches the limit of his expansion, winning the Battle of the Hydaspes in the northern Punjab region of what is today Pakistan.",,,,6,,,,,,,,,,1.0,,,,,,,,,,,1.0,,-326
32,324 BC,"The Mauryan empire in India is founded by Chandragupta Maurya, the first ruler to unite most of the Indian subcontinent.",,,,5,,,,,,,,,,,1.0,,,,,,1.0,,,,,,-324
33,323 BC,"Alexander dies, and his empire falls apart as his generals, the diadochi, battle one another for supremacy.",,,,4,,,,,,,,,,1.0,,,,,,,1.0,,,,,,-323
34,323 BC,Alexander dies at Babylon.,,,,5,,,,,,,,,,1.0,,,,1.0,,,,,,,,,-323
35,313 BC ,Accession of Chandragupta Maurya according to Jain traditions,,,,8,,,,,,,,,,,1.0,,,1.0,,,,,,,,,-313
